Timestamp,Nice._avg (%),System._avg (%),User._avg (%),Idle._avg (%)
1632991500,0,0,0,0
1632992400,0,1.39,7.365,91.195
1632996000,0,1.515,7.88,90.55
1632999600,0,1.405,7.37,91.175
1633003200,0,1.4,7.305,91.255
1633006800,0,1.42,7.44,91.05
1633010400,0,1.405,7.305,91.245
1633014000,0,1.445,7.35,91.15
1633017600,0,1.415,7.235,91.305
1633021200,0,1.425,7.38,91.145
1633075200,0,2.13,16.97,79.895
1633078800,0.005,1.545,8.215,90.16
1633082400,0.015,1.55,7.8,90.58
1633086000,0,1.605,7.885,90.45
1633089600,0,1.555,7.64,90.75
1633093200,0,1.68,8.43,89.735
1633096800,0.01,1.895,9.155,88.875
1633100400,0,1.85,8.75,89.31
1633330800,0,1.49,8.525,86.085
1633334400,0,1.4,6.795,91.755
1633338000,0,1.48,7.705,90.73
1633341600,0,1.61,8.725,89.545
1633345200,0.015,1.64,7.775,90.455
1633348800,0.01,1.495,6.98,91.43
1633352400,0,1.52,7.055,91.06
1633356000,0,1.545,7.065,91.305
1633359600,0,1.54,6.975,91.405
1633363200,0,1.525,6.815,91.585
1633366800,0,1.495,6.81,91.615
1633370400,0,1.5,6.785,91.635
1633374000,0,1.485,6.77,91.67
1633377600,0,1.515,6.775,91.63
1633381200,0,1.525,6.865,91.52
1633384800,0,1.525,6.865,91.54
1633388400,0,1.52,6.82,91.575
1633392000,0,1.49,6.765,91.66
1633395600,0,1.485,6.84,91.59
1633399200,0,1.44,6.63,91.845
1633402800,0,1.445,6.645,91.82
1633406400,0,1.43,6.63,91.86
1633410000,0,1.42,6.56,91.94
1633413600,0,1.43,6.62,91.86
1633417200,0.025,1.505,6.84,91.53
1633420800,0,1.48,6.725,91.715
1633424400,0,1.545,6.88,91.44
1633428000,0.025,1.485,6.735,91.68
1633431600,0,1.53,7.265,91.085
1633435200,0,1.485,6.755,91.675
1633438800,0,1.42,6.62,91.885
1633442400,0,1.415,6.715,91.77
1633446000,0,1.41,6.525,91.985
1633449600,0,1.395,6.505,92.02
1633496400,0.005,1.505,9.265,89.04
1633500000,0,1.365,7.435,91.15
1633503600,0.035,1.375,7.545,91.015
1633507200,0,1.4,7.375,91.175
1633510800,0,1.415,7.5,91.005
1633514400,0,1.425,7.635,90.865
1633518000,0,1.63,9.08,89.15
1633521600,0,1.55,7.81,90.575
1633525200,0,1.64,9.95,88.305
1633528800,0,1.63,8.045,90.035
1633532400,0,1.5,7.445,91
1633536000,0,1.49,7.53,90.8
1633539600,0,1.525,7.535,90.89
1633586400,0,1.9,14.825,83.08
1633590000,0.005,1.475,8.7,89.575
1633593600,0,1.415,8.56,89.88
