Timestamp,Buffer._avg (B),Cache._avg (B),Share._avg (B),Swap._avg (B),Total._avg (B),Use._avg (B),Available._avg (B)
1632991500,0,0,0,0,0,0,0
1632992400,2250752,3446414577,0,0,23522713600,18022706396,5500007204
1632996000,2250752,3388568883,0,0,23522713600,18153868964,5368844636
1632999600,2250752,3304237604,0,0,23522713600,18254961700,5267751900
1633003200,2250752,3345908521,0,0,23522713600,18290782879,5231930721
1633006800,2250752,3379665162,0,0,23522713600,18356683622,5166029978
1633010400,2250752,3402018632,0,0,23522713600,18330712300,5192001300
1633014000,2250752,3459779277,0,0,23522713600,18338227313,5184486287
1633017600,2250752,3485149476,0,0,23522713600,18292209034,5230504566
1633021200,2250752,3505499955,0,0,23522713600,18314393723,5208319877
1633075200,2252800,2787676012,0,0,23522713600,10831808246,12690905354
1633078800,2252800,2948247030,0,0,23522713600,14687850092,8834863508
1633082400,2252800,3088958868,0,0,23522713600,15598538614,7924174986
1633086000,2252800,3132737997,0,0,23522713600,15900861471,7621852129
1633089600,2252800,3169706286,0,0,23522713600,16139418537,7383295063
1633093200,2205634.56,3389172808,0,0,23522713600,16784312504,6738401096
1633096800,2234368,3404785352,0,0,23522713600,18054877256,5467836344
1633100400,2234368,3353539502,0,0,23522713600,18119239639,5403473961
1633330800,2171617.28,2733700029,0,0,22389408297,12572578314,9816829983
1633334400,2252800,2993642936,0,0,23522709504,15181479941,8341229563
1633338000,2252800,3072540109,0,0,23522709504,15655054136,7867655368
1633341600,1638005.76,3648966892,0,0,23522709504,18143138135,5379571369
1633345200,1251328,2911405829,0,0,23522709504,19109111378,4413598126
1633348800,1251328,2634195492,0,0,23522709504,19081257047,4441452457
1633352400,1212825.6,2575469420,0,0,23522709504,19360244372,4162465132
1633356000,1773429.76,2417573304,0,0,23522709504,19542667305,3980042199
1633359600,2201600,2432357212,0,0,23522709504,19588972099,3933737405
1633363200,2201600,2428849326,0,0,23522709504,19700198605,3822510899
1633366800,2201600,2436211200,0,0,23522709504,19698219720,3824489784
1633370400,2201600,2462901386,0,0,23522709504,19758029809,3764679695
1633374000,2201600,2469151549,0,0,23522709504,19714976630,3807732874
1633377600,2201600,2494085949,0,0,23522709504,19699464310,3823245194
1633381200,2201600,2514274903,0,0,23522709504,19693035643,3829673861
1633384800,2201600,2517451095,0,0,23522709504,19691911941,3830797563
1633388400,2201600,2553322788,0,0,23522709504,19703890673,3818818831
1633392000,2201600,2572994268,0,0,23522709504,19728338529,3794370975
1633395600,2201600,2596721915,0,0,23522709504,19698746911,3823962593
1633399200,2201600,2595822177,0,0,23522709504,19732295050,3790414454
1633402800,2201600,2605390991,0,0,23522709504,19754232371,3768477133
1633406400,2201600,2634983434,0,0,23522709504,19787500764,3735208740
1633410000,2201600,2643247713,0,0,23522709504,19819788897,3702920607
1633413600,2201600,2663687578,0,0,23522709504,19868865091,3653844413
1633417200,1201090.56,2543011686,0,0,23522709504,19974788767,3547920737
1633420800,1191936,2507709716,0,0,23522709504,19842074296,3680635208
1633424400,1162240,2295211218,0,0,23522709504,20145212989,3377496515
1633428000,1150976,2301069204,0,0,23522709504,20189080719,3333628785
1633431600,1150976,2364315489,0,0,23522709504,20199515320,3323194184
1633435200,1150976,2376182595,0,0,23522709504,20130924718,3391784786
1633438800,1150976,2423648415,0,0,23522709504,20121910001,3400799503
1633442400,1150976,2360753971,0,0,23522709504,20171917926,3350791578
1633446000,1150976,2274443203,0,0,23522709504,19589476695,3933232809
1633449600,1150976,2321691648,0,0,23522709504,19618718423,3903991081
1633496400,2252800,3196329385,0,0,23522709504,13991070336,9531639168
1633500000,2254182.4,3316254218,0,0,23522709504,15430241859,8092467645
1633503600,2258944,3447278828,0,0,23522709504,16007551007,7515158497
1633507200,2258944,3516066934,0,0,23522709504,16438725084,7083984420
1633510800,2258944,3568447452,0,0,23522709504,16459769226,7062940278
1633514400,2258944,3608898831,0,0,23522709504,16584755092,6937954412
1633518000,1301196.8,3626174449,0,0,23522709504,18555809705,4966899799
1633521600,1259520,2943254426,0,0,23522709504,19054871434,4467838070
1633525200,1259520,3004943662,0,0,23522709504,19340678236,4182031268
1633528800,1187169.28,3804963707,0,0,23522709504,18324050990,5198658514
1633532400,1150976,4071118986,0,0,23522709504,18004858732,5517850772
1633536000,1150976,4068415124,0,0,23522709504,17996589737,5526119767
1633539600,1150976,4115546819,0,0,23522709504,17984096271,5538613233
1633586400,2252800,2413976525,0,0,23522713600,4153480340,19369233260
1633590000,2426721.28,3448087946,0,0,23522713600,14957527588,8565186012
1633593600,2458383.36,3926277955,0,0,23522713600,17429801334,6092912266
